name	lifeinred_color
depth	8

value	r	g	b
0	0	1	2
1	0	2	6
2	0	4	10
3	1	5	11
4	1	6	15
5	4	7	18
6	6	8	19
7	8	9	21
8	10	10	22
9	12	11	24
10	13	13	26
11	16	13	27
12	16	14	29
13	19	15	29
14	18	16	32
15	21	16	32
16	21	18	34
17	23	18	35
18	24	19	36
19	24	20	38
20	26	20	40
21	27	21	40
22	29	21	42
23	30	21	44
24	31	22	44
25	32	22	47
26	35	23	48
27	36	23	48
28	36	23	51
29	39	23	52
30	42	23	52
31	42	24	54
32	44	24	56
33	46	24	56
34	48	25	58
35	48	25	59
36	51	25	60
37	52	25	62
38	55	25	63
39	56	26	64
40	58	26	65
41	60	26	65
42	63	26	67
43	64	27	68
44	65	27	70
45	67	27	71
46	70	27	72
47	71	27	73
48	73	27	73
49	75	27	75
50	77	27	75
51	80	27	75
52	81	27	76
53	83	27	77
54	86	27	78
55	88	27	79
56	89	27	80
57	91	27	81
58	93	27	81
59	96	26	81
60	97	27	81
61	99	27	83
62	102	26	84
63	105	25	83
64	105	27	84
65	108	26	85
66	110	25	86
67	112	26	86
68	113	25	87
69	116	25	88
70	119	24	87
71	120	25	88
72	123	24	88
73	125	23	89
74	126	24	89
75	129	23	89
76	131	23	89
77	133	23	89
78	135	22	89
79	137	23	89
80	139	23	91
81	142	21	89
82	143	23	91
83	145	21	91
84	146	23	92
85	149	21	91
86	151	23	89
87	153	21	91
88	154	23	91
89	157	21	92
90	158	23	91
91	161	21	91
92	162	23	92
93	165	20	91
94	166	22	89
95	167	24	91
96	170	22	91
97	172	23	89
98	173	25	91
99	175	24	91
100	177	25	89
101	178	27	91
102	181	25	89
103	182	27	89
104	184	28	89
105	185	30	89
106	188	29	89
107	189	30	89
108	191	31	88
109	192	32	89
110	193	34	88
111	195	36	88
112	197	34	87
113	199	36	88
114	200	36	87
115	202	39	87
116	203	40	86
117	204	40	87
118	206	43	86
119	207	44	86
120	209	44	85
121	210	47	86
122	211	48	85
123	213	48	84
124	214	50	84
125	216	52	83
126	217	52	84
127	217	56	83
128	219	56	81
129	220	58	81
130	221	60	83
131	223	60	81
132	223	64	81
133	224	65	81
134	226	65	81
135	227	67	80
136	227	70	80
137	229	71	81
138	230	72	80
139	230	75	79
140	231	76	80
141	233	77	79
142	233	80	78
143	234	81	79
144	236	81	78
145	236	84	77
146	237	85	78
147	237	88	77
148	239	89	76
149	239	91	77
150	240	92	76
151	240	95	77
152	242	96	76
153	242	97	77
154	243	99	76
155	243	101	77
156	245	102	76
157	243	105	77
158	245	107	76
159	246	108	77
160	246	110	76
161	247	111	77
162	247	113	76
163	247	115	77
164	249	116	76
165	249	118	77
166	249	121	77
167	250	121	77
168	250	124	77
169	250	126	78
170	251	127	77
171	251	129	78
172	251	131	79
173	251	133	78
174	252	134	79
175	252	136	80
176	252	138	81
177	253	139	81
178	253	141	81
179	253	143	81
180	253	144	81
181	253	146	83
182	254	147	84
183	254	149	85
184	254	151	86
185	254	153	85
186	255	154	86
187	255	156	87
188	255	158	87
189	254	160	88
190	255	161	89
191	255	163	89
192	255	163	91
193	255	166	94
194	254	168	95
195	255	169	96
196	255	171	97
197	255	173	97
198	255	175	99
199	255	176	100
200	255	177	101
201	255	179	104
202	255	181	105
203	255	182	105
204	255	184	107
205	255	186	110
206	255	188	111
207	255	189	112
208	255	190	113
209	255	192	115
210	255	193	116
211	255	195	119
212	255	197	120
213	255	198	121
214	255	200	124
215	255	202	125
216	255	203	128
217	255	204	129
218	255	206	130
219	255	207	133
220	255	209	134
221	254	211	137
222	255	211	138
223	254	214	141
224	255	215	142
225	254	216	145
226	255	218	147
227	255	219	149
228	255	221	152
229	255	222	153
230	255	223	156
231	254	225	159
232	255	226	160
233	254	227	163
234	255	229	163
235	254	231	167
236	255	232	170
237	255	233	171
238	255	235	174
239	255	236	177
240	254	238	179
241	255	239	181
242	255	240	184
243	255	241	187
244	255	243	188
245	255	243	191
246	255	246	194
247	255	247	197
248	255	248	198
249	255	250	202
250	255	251	205
251	255	252	208
252	255	253	209
253	255	255	211
254	255	255	215
255	255	255	218
